USD/EUR,1.0036000000
USD/JPY,146.6000000000
USD/GBP,0.8787000000
USD/CNY,7.1826000000
USD/AUD,1.5461000000
USD/CAD,1.3478000000
USD/CHF,0.9938000000
USD/HKD,7.8493000000
USD/SGD,1.4033000000
USD/SEK,10.8952000000
USD/KRW,1403.2900000000
USD/NOK,10.2270000000
USD/NZD,1.6878000000
USD/INR,81.9620000000
USD/MXN,19.5039000000
USD/TWD,31.9990000000
USD/ZAR,17.8906000000
USD/BRL,5.0557000000
USD/DKK,7.4722000000
USD/PLN,4.7015000000
USD/THB,37.2800000000
USD/ILS,3.5460000000
USD/IDR,15735.0000000000
USD/CZK,24.4600000000
USD/AED,3.6728000000
USD/TRY,18.5657000000
USD/HUF,403.8700000000
USD/CLP,924.8300000000
USD/SAR,3.7575000000
EUR/USD,0.9960000000
EUR/JPY,146.0000000000
EUR/GBP,0.8752000000
EUR/CNY,7.1539000000
EUR/AUD,1.5399000000
EUR/CAD,1.3417000000
EUR/CHF,0.9898000000
EUR/HKD,7.8179000000
EUR/SGD,1.3977000000
EUR/SEK,10.8516000000
EUR/KRW,1397.6800000000
EUR/NOK,10.1861000000
EUR/NZD,1.6810000000
EUR/INR,81.6340000000
EUR/MXN,19.4259000000
EUR/TWD,31.8710000000
EUR/ZAR,17.8190000000
EUR/BRL,5.0355000000
EUR/DKK,7.4423000000
EUR/PLN,4.6827000000
EUR/THB,37.1309000000
EUR/ILS,3.5318000000
EUR/IDR,15672.0600000000
EUR/CZK,24.3520000000
EUR/AED,3.6581000000
EUR/TRY,18.4914000000
EUR/HUF,402.2500000000
EUR/CLP,921.1300000000
EUR/SAR,3.7425000000
JPY/USD,0.0068200000
JPY/EUR,0.0068450000
JPY/GBP,0.0059930000
JPY/CNY,0.0489900000
JPY/AUD,0.0105500000
JPY/CAD,0.0091920000
JPY/CHF,0.0067780000
JPY/HKD,0.0535400000
JPY/SGD,0.0095710000
JPY/SEK,0.0743100000
JPY/KRW,9.5709000000
JPY/NOK,0.0697500000
JPY/NZD,0.0115100000
JPY/INR,0.5590000000
JPY/MXN,0.1330000000
JPY/TWD,0.2182000000
JPY/ZAR,0.1220000000
JPY/BRL,0.0344800000
JPY/DKK,0.0509600000
JPY/PLN,0.0320700000
JPY/THB,0.2543000000
JPY/ILS,0.0241900000
JPY/IDR,107.3200000000
JPY/CZK,0.1668000000
JPY/AED,0.0250500000
JPY/TRY,0.1266000000
JPY/HUF,2.7545000000
JPY/CLP,6.3077000000
JPY/SAR,0.0256300000
GBP/USD,1.1375000000
GBP/EUR,1.1416000000
GBP/JPY,166.7500000000
GBP/CNY,8.1702000000
GBP/AUD,1.7587000000
GBP/CAD,1.5331000000
GBP/CHF,1.1304000000
GBP/HKD,8.9286000000
GBP/SGD,1.5963000000
GBP/SEK,12.3933000000
GBP/KRW,1596.2400000000
GBP/NOK,11.6332000000
GBP/NZD,1.9198000000
GBP/INR,93.2320000000
GBP/MXN,22.1857000000
GBP/TWD,36.3989000000
GBP/ZAR,20.3506000000
GBP/BRL,5.7509000000
GBP/DKK,8.4996000000
GBP/PLN,5.3480000000
GBP/THB,42.4060000000
GBP/ILS,4.0336000000
GBP/IDR,17898.5600000000
GBP/CZK,27.8230000000
GBP/AED,4.1778000000
GBP/TRY,21.1185000000
GBP/HUF,459.4000000000
GBP/CLP,1051.9900000000
GBP/SAR,4.2742000000
CNY/USD,0.1391000000
CNY/EUR,0.1396000000
CNY/JPY,20.3948000000
